id,name,time,lat,lng
6086,普陀区梅岭北路400弄,1581523200,31.248998,121.412573
6087,普陀区梅岭支路85弄,1581523200,31.241752,121.417365
6088,普陀区逸流公寓,1581523200,31.243496,121.428954
6089,崇明区横沙乡新春村,1581523200,31.334528,121.836671
6090,桐庐县城南街道石珠村,1581523200,29.794825,119.721123
6091,江干区丁兰街道北城枫景苑,1581523200,30.368801,120.245448
6092,滨江区浦沿街道通策广场,1581523200,30.191082,120.170243
6093,瓯海区茶山街道新民村新京路,1581523200,27.945649,120.730942
6094,乐清市北白象镇前西漳村（万城小区）,1581523200,28.045092,120.859943
6095,乐清市大荆镇荆北村,1581523200,28.414272,121.164611
6096,乐清市柳市镇翔金垟村,1581523200,28.055265,120.901513
6097,阳江农场,1581350400,19.302933,109.764428
6098,河东区大王庄街,1581523200,39.125016,117.233716
6099,南开区王顶堤街,1581523200,39.106761,117.148243
6100,埇桥区三八街道磬云路汇金广场,1580486400,33.650605,116.961367
6101,汶上县义桥镇孙汪村,1581523200,35.683337,116.586375
6102,招远市城南西区,1581523200,37.358340,120.409605
6103,招远市西苑龙馨技校家属楼,1581523200,37.361050,120.440811
6104,乐陵市化楼镇石家村,1581523200,37.531724,116.987886
6105,武城县武城镇肖邢王庄村,1581523200,37.178789,116.149014
6106,南海区九江镇沙头水南社区裕和公寓,1581523200,22.916824,113.036689
6107,顺德区陈村镇花地湾,1581523200,22.959899,113.241340
6108,天河区棠下街道棠德花苑,1581523200,23.139512,113.389760
6109,番禺区市桥街道仓边大街,1581523200,22.953272,113.375800
6110,番禺区钟村街道祈福名都,1581523200,22.978136,113.341016
6111,花城街道茶园路,1581523200,23.393564,113.222705
6112,恩平市恩城街道凤山社区凤山路,1581523200,22.187029,112.307450
6113,宝安区沙井西荟城,1581523200,22.737954,113.823714
6114,宝安区潭头社区四村,1581523200,22.756245,113.854200
6115,龙华区花半里,1581523200,22.678095,114.054315
6116,龙华区西头新村四区,1581523200,22.647891,114.023353
6117,金湾区红旗镇中珠山海间小区,1581523200,22.144636,113.352343
6118,大亚湾区大亚湾西区碧桂园公园上城,1581523200,22.742780,114.523993
6119,新丰县丰城街道,1581523200,24.046750,114.222551
6120,溧阳市别桥镇,1581523200,31.561966,119.476306
6121,浔阳区白水湖街道满庭春,1581523200,29.735145,116.015830
6122,开发区向阳街道半岛一品小区,1581523200,29.708777,115.979167
6123,南昌县塘南镇塘南,1581523200,28.662983,116.153973
6124,南昌县莲塘镇莲武路幸福庄园,1581523200,28.541112,115.957728
6125,西湖区桃花镇汇景国际公寓,1581523200,28.659253,115.885989
6126,南昌国家高新产业技术开发区麻丘镇文教路,1581523200,28.692644,115.929922
6127,鄱阳县四十里街镇屋陈村,1581523200,29.114347,116.777943
6128,丰城市孙渡街道金马御龙城,1581523200,28.158942,115.762457
6129,丰城市淘沙镇埠下村,1581523200,28.069439,116.063102
6130,丰城市秀市镇秀市村,1581523200,28.004138,115.938257
6131,东乡区孝岗镇市场街昌景西路,1581350400,28.249282,116.624332
6132,东乡区杨桥镇杨桥卫生院对面,1581004800,28.372244,116.553711
6133,临川区上顿渡镇书香门第小区,1580745600,27.948063,116.315600
6134,临川区上顿渡镇建设路,1580745600,27.942312,116.308787
6135,临川区上顿渡镇桥东路,1580832000,27.948055,116.310774
6136,临川区上顿渡镇汽车修理厂沿街宿舍,1581004800,27.945424,116.304201
6137,临川区上顿渡镇自来水公司宿舍,1581004800,27.945424,116.304201
6138,临川区红桥临川十中旁,1581523200,27.971343,116.259833
6139,乐安县鳌溪镇蓝天巷,1580832000,27.425507,115.848436
